FID,OBJECTID,CTLabel,BoroCode,BoroName,CT2010,BoroCT2010,CDEligibil,NTACode,NTAName,PUMA,Shape_Leng,Shape_Le_1,Shape_Area,Count_
730,731,1579.03,4,Queens,157903,4157903,I,QN44,Glen Oaks-Floral Park-New Hyde Park,4105,12918.427452100001000,12918.427192200001000,7335307.264039999800000,0
731,732,18,4,Queens,001800,4001800,I,QN53,Woodhaven,4111,6172.669829409999700,6172.670083119999600,1912263.202770000100000,0
732,733,20,4,Queens,002000,4002000,E,QN53,Woodhaven,4111,5805.078277519999600,5805.078670670000100,1548759.440089999900000,0
733,734,204,4,Queens,020400,4020400,E,QN61,Jamaica,4112,8843.427679840000600,8843.427865140000000,3087690.507420000200000,0
734,735,27.02,2,Bronx,002702,2002702,E,BX39,Mott Haven-Port Morris,3710,6090.614416290000000,6090.613864310000300,1674949.677320000000000,1
735,736,32,4,Queens,003200,4003200,E,QN53,Woodhaven,4111,5665.188928280000300,5665.189170360000400,1791170.311449999900000,0
736,737,1129,4,Queens,112900,4112900,I,QN46,Bayside-Bayside Hills,4104,9020.312501380000000,9020.312785010000900,3764154.202370000100000,0
737,738,267,4,Queens,026700,4026700,E,QN29,Elmhurst,4107,6496.952057249999600,6496.951666490000200,2259540.102169999900000,1
738,739,369.01,2,Bronx,036901,2036901,E,BX17,East Tremont,3705,4385.269662120000200,4385.269516499999600,1054250.101760000000000,0
739,740,369.02,2,Bronx,036902,2036902,E,BX17,East Tremont,3705,3456.827485979999900,3456.827736060000000,686267.011382999950000,1
740,741,730,3,Brooklyn,073000,3073000,I,BK58,Flatlands,4009,7708.750971340000400,7708.750880970000300,1989618.642830000000000,0
741,742,732,3,Brooklyn,073200,3073200,I,BK58,Flatlands,4009,5560.727499769999700,5560.727132400000300,1717669.163900000000000,0
742,743,389,2,Bronx,038900,2038900,E,BX06,Belmont,3705,5457.198875260000000,5457.198828399999900,1860955.313630000000000,0
743,744,470,4,Queens,047000,4047000,I,QN61,Jamaica,4112,6632.604597870000400,6632.604519540000200,2471021.309880000100000,0
744,745,233.01,2,Bronx,023301,2023301,E,BX41,Mount Hope,3707,4498.012582919999700,4498.012377940000100,1272740.959280000100000,0
745,746,235.01,2,Bronx,023501,2023501,E,BX41,Mount Hope,3707,4891.910823639999800,4891.911174359999700,731673.247367999980000,1
746,747,165,2,Bronx,016500,2016500,E,BX01,Claremont-Bathgate,3705,7491.010245810000000,7491.009943869999900,2041030.034980000000000,0
747,748,403.02,2,Bronx,040302,2040302,E,BX05,Bedford Park-Fordham North,3706,4475.294225929999800,4475.294113650000300,682700.846566000020000,2
748,749,267.02,2,Bronx,026702,2026702,E,BX28,Van Cortlandt Village,3701,6366.483186749999700,6366.483371059999600,1819284.589050000100000,0
749,750,409,2,Bronx,040900,2040900,E,BX28,Van Cortlandt Village,3701,15483.136763600000000,15483.137259600000000,12554441.147299999000000,1
