,GEO.id2,PUMA,youth_pop,Income,Education_level,hotspot,withoutHSI,WithoutDevice,score,RANK
1627,36047099200,04009,27.3853898668,74.5137041151,42.7650073876,100.0,28.9517597448,13.8927392503,60.5957511637,1628
1628,36047051800,04015,31.8544708234,75.3782301327,34.2192295796,100.0,35.9809095879,15.6602478177,60.5791471217,1629
1629,36061015400,03805,37.2683455735,67.9505394677,53.9491287673,100.0,0.0,5.34927463035,60.5767148281,1630
1630,36005039800,03702,32.3914956559,73.778770892,39.1310329593,100.0,44.2267445465,19.192505019,60.562694161,1631
1631,36047012902,04005,43.67129882,66.4203973031,51.523362517,100.0,1.53948632809,7.27419030376,60.5570426089,1632
1632,36081014202,04111,30.0219777647,76.6883659253,31.5723603516,100.0,26.4081704845,11.3739965756,60.5418426485,1633
1633,36081115500,04103,34.0883241873,69.8320029621,50.8788905015,100.0,32.0560553359,22.471582629,60.5348170169,1634
1634,36047018600,04017,27.9533033401,73.8937252977,43.8441907839,100.0,36.6467301683,15.6605593057,60.5238081376,1635
1635,36081067100,04110,18.0613739269,76.1131633558,47.9060179634,100.0,19.6409484794,13.1763419121,60.5211954952,1636
1636,36047018700,04004,48.5352269839,63.8061532898,54.6799538302,100.0,24.9479904045,12.6145345177,60.519257842,1637
1637,36047035200,04018,1.80247321814,99.0037284837,5.15239477504,15.1515151515,58.9413483025,29.3061749761,60.5192348692,1638
1638,36081107201,04114,22.7813844499,73.7051484074,51.3686109913,96.9696969697,35.0973603822,21.7267576289,60.5164423532,1639
1639,36081036800,04112,29.2258840134,72.6292268347,46.7044576434,100.0,41.6849237487,18.4974882428,60.5107421848,1640
1640,36081071305,04108,29.6704374483,70.4593009739,53.804458802,100.0,26.5796704088,17.4024953335,60.5041671821,1641
1641,36047064600,04009,34.8900783445,69.6042468549,50.5166331856,100.0,28.9517597448,13.8927392503,60.5010902202,1642
1642,36081059000,04105,26.2098373706,73.5548896524,46.9381090608,100.0,15.7357361117,9.82586649765,60.4891127007,1643
1643,36081075702,04108,20.9231323442,73.0705312013,55.0223557633,100.0,26.5796704088,17.4024953335,60.488485547,1644
1644,36047078000,04010,37.6807618957,69.1435681503,48.6517032121,100.0,44.3487522849,21.6067519867,60.4793933481,1645
1645,36061004700,03810,36.3198194763,68.2269466904,53.5285788075,100.0,5.636643901,5.28365247213,60.478328964,1646
1646,36081157101,04105,33.0114795934,70.152755892,51.3480469489,96.9696969697,15.7357361117,9.82586649765,60.4744802999,1647
1647,36081038400,04112,27.1244020751,75.7200795639,38.0841216827,100.0,41.6849237487,18.4974882428,60.4735655887,1648
